Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-01,2020,1,1,,-0.8,Unknown,-5.2,Unknown,-3.0,Unknown,21.0,Unknown,0.0,Unknown,0.0,Unknown,0.4,Unknown,0.2,Unknown,29.0,Unknown,28.0,Unknown,48.0,Unknown
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-02,2020,1,2,,1.7,Unknown,-5.1,Unknown,-1.7,Unknown,19.7,Unknown,0.0,Unknown,1.6,Unknown,1.0,Unknown,2.0,Unknown,26.0,Unknown,28.0,Unknown,33.0,Unknown
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-03,2020,1,3,,1.3,Unknown,-2.1,Unknown,-0.4,Unknown,18.4,Unknown,0.0,Unknown,0.0,Unknown,0.2,Unknown,0.2,Unknown,21.0,Unknown,29.0,Unknown,45.0,Unknown
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-04,2020,1,4,,-1.7,Unknown,-3.8,Unknown,-2.8,Unknown,20.8,Unknown,0.0,Unknown,0.0,Unknown,2.8,Unknown,1.6,Unknown,21.0,Unknown,31.0,Unknown,39.0,Unknown
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-05,2020,1,5,,-0.1,Unknown,-4.4,Unknown,-2.3,Unknown,20.3,Unknown,0.0,Unknown,0.0,Unknown,14.6,Unknown,9.6,Unknown,23.0,Unknown,28.0,Unknown,54.0,Unknown
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-06,2020,1,6,,-0.3,Unknown,-9.4,Unknown,-4.9,Unknown,22.9,Unknown,0.0,Unknown,0.0,Unknown,11.4,Unknown,6.5,Unknown,35.0,Unknown,28.0,Unknown,72.0,Unknown
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-07,2020,1,7,,0.9,Unknown,-11.2,Unknown,-5.2,Unknown,23.2,Unknown,0.0,Unknown,0.0,Unknown,4.6,Unknown,2.2,Unknown,41.0,E,31.0,Unknown,67.0,Unknown
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-08,2020,1,8,,-7.7,Unknown,-13.9,Unknown,-10.8,Unknown,28.8,Unknown,0.0,Unknown,0.0,Unknown,5.4,Unknown,2.4,Unknown,42.0,Unknown,32.0,Unknown,65.0,Unknown
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-09,2020,1,9,,0.2,Unknown,-13.4,Unknown,-6.6,Unknown,24.6,Unknown,0.0,Unknown,1.0,Unknown,0.0,T,1.0,Unknown,44.0,Unknown,13.0,Unknown,52.0,Unknown
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-10,2020,1,10,,2.7,Unknown,-1.7,Unknown,0.5,Unknown,17.5,Unknown,0.0,Unknown,0.0,T,0.0,Unknown,0.0,T,38.0,Unknown,28.0,Unknown,37.0,Unknown
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-11,2020,1,11,,-1.7,Unknown,-13.6,Unknown,-7.7,Unknown,25.7,Unknown,0.0,Unknown,0.0,Unknown,2.6,Unknown,1.6,Unknown,40.0,Unknown,36.0,Unknown,46.0,Unknown
