Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-01,2020,1,1,,-0.8,,-5.2,,-3.0,,21.0,,0.0,,0.0,,0.4,,0.2,,29.0,,28.0,,48.0,
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-02,2020,1,2,,1.7,,-5.1,,-1.7,,19.7,,0.0,,1.6,,1.0,,2.0,,26.0,,28.0,,33.0,
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-03,2020,1,3,,1.3,,-2.1,,-0.4,,18.4,,0.0,,0.0,,0.2,,0.2,,21.0,,29.0,,45.0,
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-04,2020,1,4,,-1.7,,-3.8,,-2.8,,20.8,,0.0,,0.0,,2.8,,1.6,,21.0,,31.0,,39.0,
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-05,2020,1,5,,-0.1,,-4.4,,-2.3,,20.3,,0.0,,0.0,,14.6,,9.6,,23.0,,28.0,,54.0,
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-06,2020,1,6,,-0.3,,-9.4,,-4.9,,22.9,,0.0,,0.0,,11.4,,6.5,,35.0,,28.0,,72.0,
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-07,2020,1,7,,0.9,,-11.2,,-5.2,,23.2,,0.0,,0.0,,4.6,,2.2,,41.0,E,31.0,,67.0,
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-08,2020,1,8,,-7.7,,-13.9,,-10.8,,28.8,,0.0,,0.0,,5.4,,2.4,,42.0,,32.0,,65.0,
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-09,2020,1,9,,0.2,,-13.4,,-6.6,,24.6,,0.0,,1.0,,0.0,T,1.0,,44.0,,13.0,,52.0,
-84.51,46.49,SAULT STE MARIE A,6057591,2020-01-10,2020,1,10,,2.7,,-1.7,,0.5,,17.5,,0.0,,0.0,T,0.0,,0.0,T,38.0,,28.0,,37.0,
